Ticker,Name,SEDOL,ISIN,CUSIP,Net Assets,YTD Return (%),Inception Date,Asset Class,Sub Asset Class,Strategy,Region,Market,Country,performanceNavQuarterly,,,,,,,performanceNavMonthly,,,,,,,performancePriceQuarterly,,,,,,,performancePriceMonthly,,,,,,,Yields,,,,,,,Fees,
,,,,,,,,,,,,,,As Of,YTD (%),1Y (%),3Y (%),5Y (%),10Y (%),Incept (%),As Of,YTD (%),1Y (%),3Y (%),5Y (%),10Y (%),Incept (%),As Of,YTD (%),1Y (%),3Y (%),5Y (%),10Y (%),Incept (%),As Of,YTD (%),1Y (%),3Y (%),5Y (%),10Y (%),Incept (%),12 Month Yield (%),30 Day SEC Yield (%),Unsubsidized Yield (%),Distribution Yield,Effective Duration,Weighted Avg Maturity,Option Adjusted Spread,Gross Expense Ratio,Net Expense Ratio
IVV,iShares Core S&P 500 ETF,-,US4642872000,464287200,"160,172,840,661.74",11.76,"May 15, 2000",Equity,Large Cap,Core,North America,Developed,United States,"Dec 31, 2018",-4.42,-4.42,9.21,8.44,13.05,4.94,"Jan 31, 2019",8.01,-2.36,13.97,10.91,14.93,5.35,"Dec 31, 2018",-4.46,-4.46,9.25,8.46,13.06,4.94,"Jan 31, 2019",7.92,-2.41,14.01,10.91,14.93,5.35,2.04,1.96,-,2.62,-,-,-,0.04,0.04
IEMG,iShares Core MSCI Emerging Markets ETF,-,US46434G1031,46434G103,"59,210,839,353.58",9.68,"Oct 18, 2012",Equity,All Cap,Core,Global,Emerging,Broad,"Dec 31, 2018",-14.69,-14.69,8.67,1.61,-,1.66,"Jan 31, 2019",8.35,-14.44,14.20,4.56,-,2.94,"Dec 31, 2018",-14.91,-14.91,8.83,1.30,-,1.63,"Jan 31, 2019",9.72,-13.53,14.27,4.95,-,3.12,2.54,2.30,-,3.36,-,-,-,0.14,0.14
AGG,iShares Core U.S. Aggregate Bond ETF,-,US4642872265,464287226,"57,891,120,851.86",1.07,"Sep 22, 2003",Fixed Income,Multi Sectors,"Core, Income",North America,Developed,United States,"Dec 31, 2018",-0.05,-0.05,2.00,2.49,3.30,3.75,"Jan 31, 2019",1.07,2.19,1.90,2.40,3.53,3.80,"Dec 31, 2018",0.08,0.08,2.01,2.48,3.11,3.76,"Jan 31, 2019",0.94,2.17,1.91,2.38,3.41,3.80,2.72,2.99,2.98,2.96,5.63,7.95,45.02,0.06,0.05
IEFA,iShares Core MSCI EAFE ETF,-,US46432F8427,46432F842,"57,350,496,977.54",9.74,"Oct 18, 2012",Equity,All Cap,Core,Global,Developed,Broad,"Dec 31, 2018",-14.20,-14.20,3.21,1.02,-,4.84,"Jan 31, 2019",6.79,-12.77,8.20,3.14,-,5.87,"Dec 31, 2018",-14.14,-14.14,3.35,0.84,-,4.80,"Jan 31, 2019",6.80,-12.86,7.71,3.18,-,5.84,3.24,2.91,-,2.49,-,-,-,0.08,0.08
IJH,iShares Core S&P Mid-Cap ETF,-,US4642875078,464287507,"48,430,669,246.52",15.59,"May 22, 2000",Equity,Mid Cap,Core,North America,Developed,United States,"Dec 31, 2018",-11.14,-11.14,7.59,5.95,13.57,8.48,"Jan 31, 2019",10.46,-4.60,13.41,8.54,15.56,9.01,"Dec 31, 2018",-11.16,-11.16,7.60,5.96,13.63,8.48,"Jan 31, 2019",10.39,-4.60,13.38,8.55,15.56,9.01,1.56,1.60,-,1.03,-,-,-,0.07,0.07
IJR,iShares Core S&P Small-Cap ETF,-,US4642878049,464287804,"44,901,092,133.34",15.80,"May 22, 2000",Equity,Small Cap,Core,North America,Developed,United States,"Dec 31, 2018",-8.43,-8.43,9.45,6.31,13.55,9.30,"Jan 31, 2019",10.60,-1.21,15.62,9.33,16.27,9.84,"Dec 31, 2018",-8.49,-8.49,9.45,6.31,13.60,9.29,"Jan 31, 2019",10.63,-1.23,15.60,9.33,16.23,9.84,1.43,1.46,-,1.70,-,-,-,0.07,0.07
ITOT,iShares Core S&P Total U.S. Stock Market ETF,-,US4642871507,464287150,"18,523,224,250.24",12.72,"Jan 20, 2004",Equity,All Cap,Core,North America,Developed,United States,"Dec 31, 2018",-5.27,-5.27,8.95,8.09,13.02,7.59,"Jan 31, 2019",8.63,-2.27,14.19,10.65,14.98,8.15,"Dec 31, 2018",-5.31,-5.31,8.97,8.09,13.02,7.59,"Jan 31, 2019",8.58,-2.28,14.23,10.65,14.97,8.14,1.98,1.88,-,2.20,-,-,-,0.03,0.03
IXUS,iShares Core MSCI Total International Stock ETF,-,US46432F8344,46432F834,"13,627,092,975.10",10.23,"Oct 18, 2012",Equity,All Cap,Core,Global,Developed,Broad,"Dec 31, 2018",-14.55,-14.55,4.63,0.96,-,3.70,"Jan 31, 2019",7.66,-12.81,9.82,3.37,-,4.87,"Dec 31, 2018",-14.47,-14.47,4.69,0.77,-,3.68,"Jan 31, 2019",7.95,-12.61,9.49,3.44,-,4.90,2.79,2.71,-,2.39,-,-,-,0.10,0.10
HDV,iShares Core High Dividend ETF,-,US46429B6636,46429B663,"6,869,881,439.19",9.28,"Mar 29, 2011",Equity,All Cap,"Core, Equity Income, Smart Beta, Income",North America,Developed,United States,"Dec 31, 2018",-2.93,-2.93,8.41,7.42,-,10.53,"Jan 31, 2019",4.81,-0.62,10.05,9.28,-,11.07,"Dec 31, 2018",-3.01,-3.01,8.43,7.42,-,10.53,"Jan 31, 2019",4.85,-0.59,10.10,9.30,-,11.08,3.50,3.52,-,3.27,-,-,-,0.08,0.08
