timestamp,IVV,IJH,IJR,IUSV,IUSG,AGG,ITOT,USRT,AOA,AOM,AOR,AOK,ILTB,HDV,IEFA,IEMG,ISTB,IXUS,IPAC,IEUR,IUSB,DGRO,IAGG,IMTB,IDEV
2019-03-07,276.51,186.7762,77.045,53.77,58.29,107.275,62.735,50.2499,52.2675,37.31,43.7401,33.879,60.1664,91.83,59.4899,50.5,49.4679,56.79,54.4099,44.965,49.8425,35.9964,52.855,48.725,53.0
2019-03-06,279.01,188.31,77.76,54.19,58.85,106.99,63.29,50.35,52.7,37.41,44.02,33.96,59.84,92.37,60.29,51.44,49.41,57.61,54.9587,45.64,49.71,36.34,52.68,48.5949,53.65
2019-03-05,280.8,190.92,79.32,54.66,59.23,106.83,63.76,50.63,52.99,37.49,44.24,33.96,59.815,92.71,60.44,51.69,49.38,57.84,55.16,45.76,49.65,36.55,52.555,48.51,53.87
2019-03-04,281.16,191.72,79.65,54.75,59.28,106.76,63.9,50.48,52.86,37.45,44.13,33.96,59.74,92.72,60.38,51.18,49.37,57.65,55.05,45.72,49.65,36.59,52.47,48.49,53.83
2019-03-01,282.31,192.63,80.48,54.99,59.46,106.63,64.19,50.28,53.02,37.53,44.15,33.9288,59.61,92.84,60.615,51.07,49.35,57.78,55.18,45.86,49.615,36.75,52.44,48.42,53.93
2019-02-28,280.32,191.16,80.02,54.66,58.9802,106.8027,63.72,50.54,52.75,37.44,44.04,33.9388,59.9247,92.27,60.29,51.12,49.3741,57.5,54.97,45.51,49.6839,36.58,52.466,48.4875,53.65
2019-02-27,280.91,191.97,80.33,54.93,58.97,106.9923,63.92,50.36,52.96,37.5,44.19,33.9987,59.9546,92.15,60.36,51.71,49.3941,57.78,55.36,45.45,49.7138,36.59,52.466,48.5523,53.84
2019-02-26,281.05,191.74,80.21,55.02,58.95,107.2217,63.89,50.72,53.03,37.56,44.24,34.0286,60.4028,92.0,60.59,52.13,49.4539,58.08,55.7,45.61,49.8235,36.59,52.5757,48.6072,54.04
2019-02-25,281.26,193.4,80.99,55.17,58.94,107.102,63.99,50.85,52.99,37.58,44.18,34.0186,60.2399,92.16,60.27,52.27,49.3841,57.89,55.52,45.28,49.7138,36.66,52.5857,48.5673,53.77
2019-02-22,280.82,193.37,81.17,55.08,58.87,107.1319,63.91,51.21,52.95,37.54,44.15,33.9987,60.3044,92.13,60.1,51.75,49.3941,57.59,55.27,45.17,49.7337,36.62,52.486,48.6072,53.64
2019-02-21,279.21,191.91,80.8,54.87,58.35,106.8626,63.5,50.86,52.65,37.36,43.93,33.8634,59.9745,91.52,59.87,51.18,49.3242,57.3,55.04,45.06,49.644,36.43,52.4062,48.5074,53.4101
2019-02-20,280.09,192.51,81.18,55.18,58.53,107.102,63.71,50.79,52.81,37.44,44.09,33.9188,60.3134,91.66,60.03,51.33,49.3541,57.42,55.14,45.2,49.7138,36.5,52.4361,48.5772,53.63
2019-02-19,279.55,191.73,80.61,54.98,58.48,107.092,63.57,51.15,52.68,37.45,43.96,33.9488,60.4231,91.26,59.82,50.97,49.3442,57.16,55.08,44.97,49.7636,36.36,52.4162,48.5922,53.42
2019-02-15,279.16,191.47,80.17,54.8,58.41,107.0322,63.48,51.08,52.46,37.32,43.9,33.819,60.3599,91.04,59.57,50.64,49.3342,56.87,54.89,44.75,49.6789,36.32,52.4262,48.4925,53.12
2019-02-14,276.03,189.21,78.99,54.13,57.86,106.9524,62.77,50.81,52.07,37.16,43.6,33.7292,60.2138,89.96,58.72,50.71,49.2943,56.3,54.24,44.12,49.644,35.83,52.4361,48.5,52.46
2019-02-13,276.66,189.29,78.81,54.35,57.9,106.7928,62.88,50.65,52.04,37.17,43.52,33.6593,60.0941,90.51,58.74,50.6,49.2843,56.26,54.32,44.08,49.5442,36.0,52.3963,48.4177,52.43
2019-02-12,275.82,188.32,78.5,54.12,57.75,106.9823,62.7,50.39,51.98,37.13,43.59,33.6992,60.2337,90.24,58.73,50.98,49.3242,56.34,54.18,44.12,49.614,35.9,52.3564,48.4835,52.43
2019-02-11,272.28,186.38,77.45,53.44,57.06,106.9623,61.91,50.83,51.59,36.99,43.25,33.5894,60.3035,89.27,57.97,50.53,49.2943,55.73,53.37,43.59,49.644,35.45,52.4062,48.5124,51.62
2019-02-08,272.13,185.19,76.82,53.4,56.93,107.0721,61.82,50.7,51.51,37.0,43.28,33.5894,60.433,89.21,58.08,50.7,49.3442,55.91,53.49,43.68,49.6639,35.44,52.3863,48.4376,51.71
2019-02-07,271.83,185.33,76.86,53.49,56.75,106.8327,61.75,50.66,51.56,37.01,43.26,33.5794,60.2337,88.9,58.26,50.97,49.2943,56.11,53.71,43.81,49.6031,35.42,52.3365,48.4127,51.95
2019-02-06,274.41,186.23,77.55,53.95,57.27,106.7828,62.27,50.17,51.97,37.06,43.49,33.6593,60.0825,89.55,59.05,51.47,49.2244,56.78,54.22,44.45,49.5043,35.66,52.2667,48.3678,52.57
2019-02-05,274.82,186.32,77.66,54.0,57.43,106.8426,62.41,50.48,52.15,37.15,43.6,33.6992,60.2038,89.38,59.41,52.14,49.2145,57.25,54.71,44.63,49.5442,35.63,52.2368,48.3977,52.93
2019-02-04,273.65,185.63,77.6,53.83,57.09,106.6132,62.13,50.25,51.85,37.03,43.41,33.6094,59.9048,89.32,58.93,51.49,49.2145,56.74,54.37,44.22,49.4744,35.51,52.2118,48.3179,52.53
2019-02-01,271.7,183.77,76.62,53.48,56.68,106.703,61.69,49.8,51.63,36.98,43.29,33.5437,60.0443,89.16,58.71,51.39,49.2444,56.5,54.12,44.13,49.4744,35.3,52.2667,48.3678,52.35
2019-01-31,271.55,183.15,76.69,53.42,56.66,106.9235,61.55,50.12,51.71,37.01,43.34,33.6134,60.3378,88.45,58.68,51.68,49.2454,56.62,54.37,44.07,49.5764,35.25,52.2689,48.4863,52.29
2019-01-30,269.23,182.52,76.07,53.13,55.98,106.6051,61.05,49.73,51.42,36.84,43.12,33.454,59.7697,87.19,58.69,51.33,49.1857,56.51,54.3,44.11,49.3775,35.01,52.1745,48.2924,52.34
2019-01-29,264.98,181.44,75.29,52.48,55.01,106.3663,60.17,49.3,50.83,36.59,42.75,33.2847,59.6803,86.18,58.11,50.23,49.1061,55.85,53.68,43.68,49.2482,34.6,52.1248,48.173,51.8
2019-01-28,265.35,181.43,75.3,52.41,55.2,106.0877,60.26,48.88,50.79,36.56,42.7,33.2548,59.417,85.88,58.0,50.18,49.0464,55.71,53.55,43.49,49.1935,34.54,52.095,48.0785,51.62
2019-01-25,267.5,181.66,75.76,52.63,55.74,106.1474,60.65,48.35,51.07,36.64,42.88,33.3345,59.4816,86.37,58.27,50.69,49.0464,55.98,53.93,43.64,49.1985,34.81,52.1447,48.0437,51.89
2019-01-24,265.14,179.7,74.94,52.15,55.41,106.1972,60.12,47.72,50.69,36.55,42.65,33.2149,59.5697,86.16,57.62,50.03,49.0464,55.37,53.3,43.18,49.2383,34.65,52.1049,48.1432,51.25
2019-01-23,264.88,178.51,74.52,51.99,55.3114,106.0181,59.99,47.67,50.55,36.45,42.56,33.1552,59.3525,86.58,57.53,49.6,49.0265,55.11,52.98,43.22,49.1786,34.67,52.0453,48.0188,51.18
2019-01-22,264.5,178.78,74.65,51.95,55.24,105.9086,59.95,47.7,50.4,36.38,42.46,33.1452,59.1438,86.37,57.27,49.14,49.0165,54.87,53.05,42.94,49.1587,34.59,51.9558,48.0338,51.0
2019-01-18,268.07,181.45,75.91,52.63,55.97,105.8191,60.76,47.83,51.02,36.62,42.81,33.2448,59.0668,87.29,58.11,50.02,48.9867,55.74,53.97,43.45,49.0891,34.95,51.8863,47.9343,51.76
2019-01-17,264.53,179.16,75.15,51.9,55.33,105.8987,59.97,47.72,50.54,36.41,42.56,33.1253,58.9842,86.09,57.53,49.71,49.0265,55.23,53.4,42.97,49.0692,34.44,51.9161,48.0089,51.28
2019-01-16,262.6,177.32,74.43,51.49,54.92,105.9783,59.53,47.47,50.29,36.38,42.36,33.1153,58.9254,85.51,57.3,49.55,48.9867,55.03,53.33,42.74,49.0792,34.19,51.926,47.9641,51.02
2019-01-15,261.91,176.08,73.86,51.165,54.93,105.8887,59.33,47.15,50.15,36.3,42.26,33.0157,58.7664,85.97,57.18,49.01,49.0165,54.77,53.21,42.73,49.0394,34.08,51.921,47.994,50.93
2019-01-14,259.11,175.01,73.36,50.81,54.15,105.8688,58.7,46.64,49.86,36.17,42.05,32.9858,58.8459,85.36,56.91,48.65,49.0016,54.45,52.68,42.65,49.0394,33.81,51.8763,47.994,50.58
2019-01-11,260.37,176.06,73.99,51.02,54.54,106.0181,59.06,46.82,50.01,36.25,42.18,32.9758,59.1538,85.88,57.17,49.03,48.9469,54.74,52.86,42.88,49.0593,33.98,51.757,47.994,50.77
2019-01-10,260.51,175.92,73.84,51.01,54.62,105.8688,59.04,46.7,50.15,36.28,42.28,33.0256,59.0146,85.85,57.55,49.27,48.9071,54.99,53.27,43.06,49.0294,33.96,51.767,47.9044,51.13
2019-01-09,259.49,174.58,73.58,50.73,54.35,105.9882,58.8,46.08,50.04,36.26,42.15,33.0157,59.2009,85.66,57.37,48.94,48.917,54.81,53.06,42.99,49.0891,33.82,51.767,47.984,50.94
2019-01-08,258.29,172.89,72.84,50.49,54.1,105.8987,58.47,46.06,49.65,36.07,41.91,32.8762,59.1538,85.79,56.76,48.07,48.917,54.08,52.56,42.49,49.0444,33.73,51.757,47.9169,50.44
2019-01-07,255.77,170.05,71.75,50.07,53.47,105.9783,57.88,45.06,49.34,35.98,41.75,32.8364,59.1538,85.02,56.36,47.95,48.927,53.74,52.14,42.11,49.0692,33.44,51.757,47.8746,50.02
2019-01-04,254.06,168.22,70.81,49.71,53.02,106.1574,57.34,44.62,49.14,35.94,41.67,32.7965,59.0643,84.82,56.09,47.84,48.917,53.52,52.14,42.02,49.0991,33.3,51.8564,47.8099,49.84
2019-01-03,245.43,162.83,68.34,48.21,51.25,106.4758,55.45,44.06,47.96,35.53,40.86,32.5275,59.2143,82.8,54.44,46.41,48.9767,51.94,50.5,40.81,49.1985,32.34,52.0354,47.984,48.35
2019-01-02,251.72,165.52,69.64,49.32,52.57,106.038,56.73,43.8,48.56,35.71,41.3,32.667,58.8756,84.27,54.8,47.26,48.8772,52.38,50.88,41.1,49.0543,33.12,51.926,47.8398,48.73
2018-12-31,251.61,166.06,69.32,49.09,52.7,105.9584,56.76,44.85,48.55,35.68,41.31,32.5973,58.6366,84.38,55.0,47.15,48.8274,52.53,50.62,41.33,48.9747,33.18,51.8962,47.7453,48.85
2018-12-28,249.33,164.31,68.9,48.69,52.16,105.6897,56.22,44.74,48.34,35.61,41.09,32.5076,58.423,83.72,54.81,47.25,48.8274,52.42,50.73,41.16,48.8902,32.86,51.8763,47.5861,48.73
2018-12-27,249.7372,164.45,68.58,48.75,52.25,105.3017,56.2691,44.63,48.221,35.5188,40.9595,32.4708,58.1122,83.83,54.47,46.9,48.7478,51.96,50.58,40.81,48.7808,32.89,51.757,47.427,48.44
2018-12-26,247.3503,163.52,68.17,48.37,51.79,105.1325,55.7397,44.53,48.0323,35.4493,40.8603,32.4113,58.1007,82.89,54.36,46.95,48.6085,52.03,50.18,40.94,48.7211,32.53,51.6875,47.3971,48.39
2018-12-24,235.7852,156.48,65.14,46.36,49.22,105.3315,53.1924,43.17,46.702,34.9925,40.0365,32.1021,58.4187,80.0,53.06,46.02,48.6135,50.85,49.08,40.03,48.7709,31.18,51.7422,47.4817,47.08
2018-12-21,242.0371,160.71,66.37,47.57,50.53,105.2619,54.5509,45.0,47.4466,35.1911,40.5129,32.2923,58.2596,82.83,53.675,46.39,48.6284,51.37,49.4,40.49,48.7808,32.07,51.7372,47.4419,47.84
2018-12-20,247.1106,164.1,67.94,48.31,51.66,105.3116,55.7297,45.51,48.1117,35.4791,40.8603,32.4609,58.4782,83.24,54.67,46.84,48.6433,52.21,50.76,40.95,48.7808,32.55,51.7073,47.4369,48.61
2018-12-19,251.415,166.12,68.91,48.99,52.68,105.4111,56.6786,46.12,48.5188,35.6379,41.2077,32.5799,58.7263,84.28,54.96,46.41,48.6781,52.29,51.1,41.13,48.8604,32.9,51.6875,47.4817,48.81
2018-12-18,255.29,169.06,70.46,49.65,53.66,105.3116,57.5677,46.74,48.9358,35.8068,41.4955,32.6692,58.4014,85.13,55.5,47.18,48.6981,52.84,51.85,41.48,48.8007,33.38,51.6974,47.4767,49.29
2018-12-17,255.32,169.09,70.37,49.9,53.44,105.0042,57.5976,46.28,48.9259,35.7075,41.4359,32.5997,58.2319,85.91,55.4388,46.8474,48.6575,52.6865,51.6477,41.4219,48.6784,33.42,51.6066,47.3775,49.1732
